lon lat depth
122.069363 30.007116 34.00
122.072159 30.006920 37.00
122.074468 30.006733 32.00
122.062000 30.005839 40.00
122.067261 30.005735 34.00
122.078382 30.005460 38.00
122.075565 30.004989 57.00
122.064610 30.004726 45.00
122.071361 30.004482 61.00
122.068741 30.004041 39.00
122.074105 30.003191 41.00
122.058780 30.003185 48.00
122.078372 30.002889 65.00
122.067198 30.002797 34.00
122.054565 30.001181 45.00
122.082462 30.000747 59.00
122.079459 30.000219 43.00
122.064703 29.999271 37.00
122.050444 29.999088 36.00
122.087764 29.998647 37.00
122.083891 29.998261 56.00
122.047399 29.997680 36.00
122.062321 29.996936 41.00
122.082410 29.996418 45.00
122.088810 29.994773 42.00
122.043702 29.993509 40.00
122.051479 29.992853 39.00
122.095510 29.991620 34.00
122.040171 29.990261 45.00
122.052587 29.989658 52.00
122.055777 29.986115 35.00
122.052691 29.986036 55.00
122.057102 29.982917 37.00
122.230452 29.936275 33.00
122.226759 29.937399 44.00
122.194231 29.914350 42.00
122.201521 29.910309 32.00
122.197816 29.912268 37.00
122.197849 29.915751 33.00
122.183277 29.920984 55.00
122.190384 29.920153 41.00
122.190552 29.916534 48.00
122.183423 29.916534 61.00
122.172006 29.912651 83.00
122.175569 29.914133 77.00
122.179727 29.914203 69.00
122.183371 29.911863 66.00
122.179794 29.917707 62.00
122.176055 29.918460 65.00
122.171466 29.917813 77.00
122.167808 29.916414 89.00
122.154581 29.920221 98.00
122.159167 29.915133 98.00
122.162365 29.919128 78.00
122.166456 29.920274 78.00
122.158395 29.919023 96.00
122.154943 29.915669 106.00
122.141001 29.920079 110.00
122.150747 29.914688 112.00
122.151411 29.917742 105.00
122.147454 29.919130 104.00
122.146790 29.920322 99.00
122.144095 29.916643 110.00
122.150641 29.921872 99.00
122.141150 29.914121 107.00
122.145345 29.914100 107.00
122.148327 29.911346 95.00
122.152053 29.912487 109.00
122.143374 29.910476 87.00
122.128944 29.911230 68.00
122.132530 29.909157 64.00
122.136439 29.910584 93.00
122.139930 29.909251 95.00
122.132542 29.913500 74.00
122.121407 29.916108 106.00
122.121664 29.911411 58.00
122.125392 29.914055 97.00
122.129682 29.916761 109.00
122.131206 29.915730 84.00
122.118957 29.915005 94.00
122.107024 29.917617 103.00
122.110532 29.912123 77.00
122.110816 29.915516 68.00
122.114465 29.914280 69.00
122.107127 29.913752 72.00
122.103603 29.908371 80.00
122.107312 29.910452 52.00
122.110836 29.910486 42.00
122.103662 29.911873 84.00
122.092846 29.906536 82.00
122.096448 29.908930 90.00
122.100040 29.910105 92.00
122.096497 29.905479 59.00
122.092749 29.910088 106.00
122.081857 29.906893 90.00
122.085502 29.905277 77.00
122.085464 29.908977 90.00
122.089174 29.908453 94.00
122.089135 29.903684 60.00
122.092883 29.902547 44.00
122.081946 29.903071 67.00
122.078352 29.905556 87.00
122.067490 29.905498 101.00
122.071061 29.903874 95.00
122.078299 29.900965 58.00
122.074704 29.902441 74.00
122.063812 29.903002 89.00
122.067535 29.900863 68.00
122.071042 29.899209 65.00
122.053027 29.902227 66.00
122.056465 29.897168 54.00
122.060282 29.900243 60.00
122.056396 29.900504 58.00
122.053061 29.898750 47.00
122.045799 29.903761 54.00
122.049266 29.901035 49.00
122.045851 29.899036 43.00
122.042110 29.902216 32.00
122.038486 29.904136 45.00
122.049354 29.895410 40.00
122.045787 29.894233 32.00
122.053261 29.889222 34.00
122.056868 29.890960 41.00
