RCID	OBJL	BOY_FIELD	BOY_VALUE	LON	LAT
14108	BOYSPP	BOYSPP	7.0	120.601106	39.497265
14109	BOYSPP	BOYSPP	4.0	120.583273	39.249936
14110	BOYSPP	BOYSPP	7.0	120.085614	39.037106
14111	BOYSPP	BOYSPP	7.0	123.338393	38.915441
14112	BOYSPP	BOYSPP	7.0	121.15093	38.550447
14113	BOYSPP	BOYSPP	7.0	121.056265	38.155121
14114	BOYSPP	BOYSPP	7.0	123.499557	37.994957
14115	BOYSPP	BOYSPP	7.0	121.814944	37.763195
14116	BOYSPP	BOYSPP	7.0	123.49589	36.854643
14117	BOYSPP	BOYSPP	7.0	121.384467	36.200374
24574	BOYSPP	BOYSPP	7.0	123.5961667	39.3268333
24647	BOYSPP	BOYSPP	4.0	124.0569444	36.1333333
14118	BOYSAW	BOYSAW	4.0	118.357	38.541077
14093	BOYISD	BOYISD	4.0	121.145458	39.597236
14094	BOYISD	BOYISD	4.0	119.841007	39.386434
14095	BOYISD	BOYISD	4.0	119.911616	38.5964
14096	BOYISD	BOYISD	4.0	122.380732	38.071882
14097	BOYISD	BOYISD	4.0	118.594684	38.228007
14098	BOYISD	BOYISD	4.0	119.543262	38.7075
15820	BOYSPP	BOYSPP	7.0	123.745933	35.078519
15821	BOYSPP	BOYSPP	7.0	123.500887	31.250176
15822	BOYSPP	BOYSPP	7.0	124.499933	31.000082
15823	BOYSPP	BOYSPP	4.0	126.14105	33.79361
15824	BOYSPP	BOYSPP	7.0	120.818455	33.72739
15825	BOYSPP	BOYSPP	7.0	123.486428	35.241586
15826	BOYSPP	BOYSPP	7.0	120.744141	35.243252
15827	BOYSPP	BOYSPP	4.0	123.002992	35.237975
15829	BOYSPP	BOYSPP	7.0	122.01112	35.254919
15842	BOYSPP	BOYSPP	1.0	126.825706	30.987213
15843	BOYSPP	BOYSPP	1.0	128.418301	34.220317
22269	BOYSPP	BOYSPP	4.0	123.0624444	32.6607222
23163	BOYSPP	BOYSPP	4.0	124.1333333	35.0
23186	BOYSPP	BOYSPP	7.0	124.5101667	35.4270833
23192	BOYSPP	BOYSPP	7.0	126.26025	32.0523889
23194	BOYSPP	BOYSPP	7.0	124.0940278	32.8853333
23199	BOYSPP	BOYSPP	4.0	126.4	31.6666667
23263	BOYSPP	BOYSPP	7.0	129.4861111	31.6219444
39934	BOYSPP	BOYSPP	1.0	126.201829	30.330464
39935	BOYSPP	BOYSPP	7.0	122.997754	30.03158
39936	BOYSPP	BOYSPP	7.0	123.999921	29.499922
39937	BOYSPP	BOYSPP	7.0	121.391917	27.542975
39938	BOYSPP	BOYSPP	4.0	122.500763	27.499955
39939	BOYSPP	BOYSPP	7.0	122.499944	26.916632
39940	BOYSPP	BOYSPP	7.0	121.999952	26.499972
39941	BOYSPP	BOYSPP	7.0	121.000569	27.009431
15722	BOYSPP	BOYSPP	4.0	123.984926	24.674889
19969	BOYSPP	BOYSPP	2.0	124.0367778	21.3134722
5967	BOYSPP	BOYSPP	4.0	113.983321	21.483413
5968	BOYSPP	BOYSPP	4.0	114.000714	20.999519
5969	BOYSPP	BOYSPP	4.0	115.613299	20.691584
5970	BOYSPP	BOYSPP	7.0	118.198911	23.636739
5971	BOYSPP	BOYSPP	4.0	115.619232	19.936053
5972	BOYSPP	BOYSPP	4.0	118.183244	21.6833
5973	BOYSPP	BOYSPP	4.0	117.833208	20.683604
5974	BOYSPP	BOYSPP	7.0	119.300702	24.483687
5975	BOYSPP	BOYSPP	7.0	120.714313	26.2885
5976	BOYSPP	BOYSPP	7.0	122.616503	25.699898
5977	BOYSPP	BOYSPP	7.0	116.167167	22.145515
5978	BOYSPP	BOYSPP	7.0	114.866633	21.883297
5979	BOYSPP	BOYSPP		122.699835	21.899963
5980	BOYSPP	BOYSPP	7.0	120.306264	25.499069
5981	BOYSPP	BOYSPP	4.0	117.339925	22.333289
5982	BOYSPP	BOYSPP	4.0	122.499838	26.166557
5983	BOYSPP	BOYSPP	4.0	118.999897	22.599951
5984	BOYSPP	BOYSPP	7.0	122.739834	26.01556
6028	BOYSPP	BOYSPP	1.0	119.6722222	22.9983333
32036	BOYSPP	BOYSPP	1.0	118.8533333	21.0555556
35411	BOYSPP	BOYSPP	4.0	117.4861944	22.6598056
35423	BOYSPP	BOYSPP	2.0	119.2677778	20.6186111
15263	BOYSPP	BOYSPP	4.0	111.275236	20.572836
15264	BOYSPP	BOYSPP	4.0	110.943333	20.516666
15265	BOYSPP	BOYSPP	4.0	109.166605	20.499921
15266	BOYSPP	BOYSPP	4.0	109.062495	20.140205
15268	BOYSPP	BOYSPP	4.0	115.543831	19.808905
15269	BOYSPP	BOYSPP	4.0	112.327695	19.675626
15271	BOYSPP	BOYSPP	4.0	108.619947	20.476033
15272	BOYSPP	BOYSPP	4.0	109.23327	20.36659
15273	BOYSPP	BOYSPP	4.0	108.940386	20.202843
15274	BOYSPP	BOYSPP	4.0	110.288061	18.088837
15345	BOYSPP	BOYSPP	4.0	112.501549	19.416606
15346	BOYSPP	BOYSPP	4.0	112.398217	18.871616
15347	BOYSPP	BOYSPP	4.0	111.99489	18.869949
23814	BOYSPP	BOYSPP	7.0	112.6226137	21.1165848
23820	BOYSPP	BOYSPP	7.0	111.5301667	19.6347222
23825	BOYSPP	BOYSPP	7.0	110.9955833	19.0033889
23829	BOYSPP	BOYSPP	7.0	111.1996111	19.2018611
23831	BOYSPP	BOYSPP	7.0	111.8301667	19.3480833
23835	BOYSPP	BOYSPP	7.0	110.9968056	18.5090833
11749	BOYSPP	BOYSPP	4.0	115.833294	15.499994
18145	BOYSPP	BOYSPP		114.321579	10.391308
5303	BOYSPP	BOYSPP	1.0	114.728259	8.145816
5304	BOYSPP	BOYSPP	1.0	114.437278	7.943301
5305	BOYLAT	BOYLAT	2.0	113.774714	7.369961
12533	BOYSPP	BOYSPP	4.0	123.560652	39.221321
12534	BOYSPP	BOYSPP	4.0	123.239324	39.443151
12535	BOYSPP	BOYSPP	4.0	123.159158	39.443318
12536	BOYSPP	BOYSPP	4.0	123.173658	39.516816
12537	BOYSPP	BOYSPP	4.0	123.235157	39.51665
21928	BOYSPP	BOYSPP	7.0	123.3383324	38.9157247
27057	BOYSPP	BOYSPP	7.0	123.5961667	39.3268333
27077	BOYSPP	BOYSPP	4.0	123.2784722	39.3912222
27080	BOYSPP	BOYSPP	4.0	123.2800833	39.4523611
27083	BOYSPP	BOYSPP	4.0	123.3941944	39.4506667
27086	BOYSPP	BOYSPP	4.0	123.3755833	39.3909444
27091	BOYSPP	BOYSPP	1.0	124.889494	38.699914
12513	BOYLAT	BOYLAT	4.0	123.219824	39.63262
12514	BOYLAT	BOYLAT	4.0	123.245851	39.574538
12515	BOYLAT	BOYLAT	4.0	123.035105	39.566843
12516	BOYLAT	BOYLAT	4.0	123.063188	39.529511
12517	BOYLAT	BOYLAT	4.0	123.996747	39.577043
12518	BOYLAT	BOYLAT	4.0	123.097186	39.477438
12520	BOYLAT	BOYLAT	1.0	124.889194	38.634428
12521	BOYLAT	BOYLAT	2.0	124.840038	38.624645
12512	BOYISD	BOYISD	4.0	124.065282	39.642953
14426	BOYSPP	BOYSPP	4.0	120.583325	39.249984
14427	BOYSPP	BOYSPP	4.0	121.049983	38.849991
20168	BOYSPP	BOYSPP	7.0	121.1509161	38.550583
14340	BOYLAT	BOYLAT	4.0	122.420044	39.3369
14341	BOYLAT	BOYLAT	4.0	122.460932	39.325011
14342	BOYLAT	BOYLAT	4.0	122.429488	39.2969
14343	BOYLAT	BOYLAT	4.0	122.362962	39.275484
14344	BOYLAT	BOYLAT	4.0	122.486404	39.273595
14345	BOYLAT	BOYLAT	4.0	122.392378	39.261623
14346	BOYLAT	BOYLAT	4.0	122.550653	39.251429
14347	BOYLAT	BOYLAT	4.0	122.228825	39.224735
14348	BOYLAT	BOYLAT	4.0	122.348518	39.12932
14349	BOYLAT	BOYLAT	4.0	122.271797	39.094793
14350	BOYLAT	BOYLAT	4.0	120.934985	38.376749
14351	BOYLAT	BOYLAT	4.0	120.955651	38.371305
14215	BOYISD	BOYISD	4.0	122.637374	39.418148
14216	BOYISD	BOYISD	4.0	122.038227	38.955298
11625	BOYSPP	BOYSPP	4.0	121.983697	40.620633
11626	BOYSPP	BOYSPP	4.0	121.401079	40.400594
11627	BOYSPP	BOYSPP	4.0	121.988402	40.377233
11629	BOYSPP	BOYSPP	7.0	120.601148	39.497332
21371	BOYSPP	BOYSPP	4.0	121.7930278	40.5145833
11684	BOYLAT	BOYLAT	4.0	122.015973	40.532248
11685	BOYLAT	BOYLAT	4.0	121.955708	40.302124
11686	BOYLAT	BOYLAT	4.0	121.85346	40.281041
11687	BOYLAT	BOYLAT	2.0	121.369652	40.174912
11688	BOYLAT	BOYLAT	4.0	121.649686	40.155293
11689	BOYLAT	BOYLAT	4.0	120.04585	40.002878
11690	BOYLAT	BOYLAT	4.0	119.672764	39.801815
11691	BOYLAT	BOYLAT	4.0	121.937125	40.550953
11692	BOYLAT	BOYLAT	4.0	121.802933	40.373206
11693	BOYLAT	BOYLAT	4.0	121.861516	40.423899
11694	BOYLAT	BOYLAT	4.0	121.91557	40.459954
11695	BOYLAT	BOYLAT	4.0	120.141322	40.04535
11696	BOYLAT	BOYLAT	4.0	121.977588	40.400655
11697	BOYLAT	BOYLAT	4.0	122.102253	40.351323
11698	BOYLAT	BOYLAT	4.0	121.071307	40.601257
11699	BOYLAT	BOYLAT	4.0	120.023352	40.018351
11787	BOYSAW	BOYSAW	4.0	119.775577	39.78016
11741	BOYISD	BOYISD	4.0	121.1455	39.597302
11738	BOYCAR	BOYCAR	4.0	121.746323	40.215458
11739	BOYCAR	BOYCAR	4.0	121.781323	40.198625
11740	BOYCAR	BOYCAR	4.0	121.724935	40.12946
495	BOYSPP	BOYSPP	4.0	119.230721	39.150293
496	BOYSPP	BOYSPP	4.0	119.179055	39.086961
497	BOYSPP	BOYSPP	4.0	118.146656	38.865826
498	BOYSPP	BOYSPP	4.0	118.548314	38.854986
499	BOYSPP	BOYSPP	4.0	117.867437	38.578803
500	BOYSPP	BOYSPP	4.0	119.509411	39.298957
503	BOYSPP	BOYSPP	4.0	118.026352	38.825021
504	BOYSPP	BOYSPP	7.0	120.085624	39.037156
506	BOYSPP	BOYSPP	4.0	117.90616	38.68394
3660	BOYSPP	BOYSPP	4.0	118.029068	38.991972
